AppointmentID,ClientID,Date,Time,Attorney,Paralegal,Purpose,Location
1,1,2025-11-01,10:00 AM,Laura Bennett,Sarah Coleman,Will Drafting Consultation,Office
2,2,2025-11-01,11:30 AM,Michael Reynolds,David Patel,Estate Planning Review,Office
3,3,2025-11-02,09:00 AM,Laura Bennett,Sarah Coleman,Trust Setup Follow-Up,Office
4,4,2025-11-02,02:00 PM,Michael Reynolds,David Patel,Will Drafting Review,Office
5,5,2025-11-03,10:30 AM,Laura Bennett,Sarah Coleman,Estate Planning Consultation,Office
6,6,2025-11-03,01:00 PM,Michael Reynolds,David Patel,Probate Discussion,Office
7,7,2025-11-04,11:00 AM,Laura Bennett,Sarah Coleman,Trust Setup Consultation,Office
8,8,2025-11-04,03:00 PM,Michael Reynolds,David Patel,Will Drafting Finalization,Office
9,9,2025-11-05,09:30 AM,Laura Bennett,Sarah Coleman,Estate Planning Review,Office
10,10,2025-11-05,02:30 PM,Michael Reynolds,David Patel,Probate Filing,Office
11,11,2025-11-06,10:00 AM,Laura Bennett,Sarah Coleman,Will Drafting Consultation,Office
12,12,2025-11-06,01:30 PM,Michael Reynolds,David Patel,Trust Setup Review,Office
13,13,2025-11-07,11:00 AM,Laura Bennett,Sarah Coleman,Estate Planning Follow-Up,Office
14,14,2025-11-07,03:00 PM,Michael Reynolds,David Patel,Will Drafting Consultation,Office
15,15,2025-11-08,09:00 AM,Laura Bennett,Sarah Coleman,Probate Consultation,Office
16,16,2025-11-08,02:00 PM,Michael Reynolds,David Patel,Estate Planning Review,Office
17,17,2025-11-09,10:30 AM,Laura Bennett,Sarah Coleman,Trust Setup Finalization,Office
18,18,2025-11-09,01:00 PM,Michael Reynolds,David Patel,Will Drafting Review,Office
19,19,2025-11-10,11:30 AM,Laura Bennett,Sarah Coleman,Estate Planning Consultation,Office
20,20,2025-11-10,03:30 PM,Michael Reynolds,David Patel,Probate Follow-Up,Office
21,21,2025-11-11,09:30 AM,Laura Bennett,Sarah Coleman,Will Drafting Consultation,Office
22,22,2025-11-11,02:00 PM,Michael Reynolds,David Patel,Trust Setup Consultation,Office
23,23,2025-11-12,10:00 AM,Laura Bennett,Sarah Coleman,Estate Planning Review,Office
24,24,2025-11-12,01:30 PM,Michael Reynolds,David Patel,Will Drafting Finalization,Office
25,25,2025-11-13,11:00 AM,Laura Bennett,Sarah Coleman,Probate Consultation,Office
